"RecordIDS","AverageConsistency","COUNTRY-Consistency","COUNTRY-Values","YEAR_FOUNDED-Consistency","YEAR_FOUNDED-Values","CURRENT_EMPLOYEES-Consistency","CURRENT_EMPLOYEES-Values","Name-Consistency","Name-Values","INDUSTRY-Consistency","INDUSTRY-Values"
"Kaggle_37+dbpedia_1611","1.0","1.0","{united states}","1.0","{1903.0|1903.0}","1.0","{65335.0|186000.0}","1.0","{ford motor company|Ford Motor Company}","1.0","{[, automotive, ]|[, Automotive industry, ]}"
"Kaggle_15580+dbpedia_1857","1.0","1.0","{united kingdom}","1.0","{1968.0|1968.0}","1.0","{741.0|235000.0}","1.0","{hca healthcare uk|HCA Healthcare}","1.0","{[, hospital & health care, ]|[, Health care, ]}"
"Kaggle_89988+dbpedia_3962","1.0",,,"1.0","{1915.0}","1.0","{124.0|8000.0}","1.0","{spectris plc|Spectris}","1.0","{[, electrical/electronic manufacturing, ]|[, Instrumentation, ]}"
"Kaggle_2811+dbpedia_4333","1.0","1.0","{united states}","1.0","{1899.0|1899.0}","1.0","{3280.0|17000.0}","1.0","{the timken company|Timken Company}","1.0","{[, mechanical or industrial engineering, ]|[, Manufacturing, ]}"
"Kaggle_2454+dbpedia_3272","1.0","1.0","{japan}","1.0","{1918.0|1918.0}","1.0","{3652.0|259385.0}","1.0","{panasonic|Panasonic}","1.0","{[, consumer electronics, ]|[, Conglomerate (company), ]}"
"Kaggle_20070+dbpedia_811","1.0","1.0","{india}","1.0","{1954.0|1954.0}","1.0","{581.0}","1.0","{carborundum universal limited|Carborundum Universal}","1.0","{[, mining & metals, ]|[, Engineering, ]}"
"Kaggle_327266+dbpedia_242","1.0","1.0","{iran}","1.0","{2007.0|2007.0}","1.0","{30.0}","1.0","{amin investment bank|Amin Investment Bank}","1.0","{[, financial services, ]|[, Financial services, ]}"
"Kaggle_256+dbpedia_3470","1.0","1.0","{united states}","1.0","{1985.0}","1.0","{18614.0|45000.0}","1.0","{qualcomm|Qualcomm}","1.0","{[, wireless, ]|[, Semiconductor industry, , Telecommunications equipment, ]}"
"Kaggle_144228+dbpedia_2133","1.0","1.0","{canada}","1.0","{1959.0|1959.0}","1.0","{75.0}","1.0","{imperial metals corporation|Imperial Metals}","1.0","{[, mining & metals, ]|[, Metal, , Mining, ]}"
"Kaggle_277602+dbpedia_30","1.0","1.0","{united kingdom}","1.0","{2002.0|2001.0}","1.0","{36.0|1400.0}","1.0","{adata ltd|ADATA}","1.0","{[, security and investigations, ]|[, Computer data storage, , Computer memory, ]}"
"Kaggle_235241+dbpedia_272","1.0",,,"1.0","{1991.0}","1.0","{43.0}","1.0","{anta sports|Anta Sports}","1.0","{[, sports, ]|[, Sports equipment, , Textile industry, ]}"
"Kaggle_16722+dbpedia_1799","1.0","1.0","{australia}","1.0","{1989.0}","1.0","{693.0|1000.0}","1.0","{goodman|Goodman Group}","1.0","{[, real estate, ]|[, Commercial property, ]}"
"Kaggle_349897+dbpedia_4340","1.0","1.0","{israel|Israel}","1.0","{1989.0}","1.0","{28.0}","1.0","{tiv taam|Tiv Ta'am}","1.0","{[, information technology and services, ]|[, Retail, ]}"
"Kaggle_325775+dbpedia_858","0.8","0.0","{united kingdom|Sri Lanka}","1.0","{2010.0|1957.0}","1.0","{30.0|1706.0}","1.0","{central finance|Central Finance Company}","1.0","{[, financial services, ]|[, Financial services, ]}"
"Kaggle_51563+dbpedia_3864","1.0","1.0","{china}","1.0","{2004.0|2004.0}","1.0","{224.0}","1.0","{shui on land|Shui On Land}","1.0","{[, real estate, ]|[, Real estate, ]}"
"Kaggle_6993+dbpedia_2487","1.0","1.0","{south korea}","1.0","{1947.0|1947.0}","1.0","{1549.0|20000.0}","1.0","{lg chem|LG Chem}","1.0","{[, chemicals, ]|[, Chemical substance, ]}"
"Kaggle_4840+dbpedia_4210","1.0","1.0","{india}","1.0","{1919.0}","1.0","{2125.0|8613.0}","1.0","{tata power|Tata Power}","1.0","{[, utilities, ]|[, Electric utility, ]}"
"Kaggle_6329+dbpedia_1958","1.0","1.0","{india}","1.0","{1958.0|1958.0}","1.0","{1689.0|40000.0}","1.0","{hindalco industries limited|Hindalco Industries}","1.0","{[, mining & metals, ]|[, Non-ferrous metal, ]}"
"Kaggle_7328+dbpedia_4454","1.0","1.0","{united states}","1.0","{1933.0}","1.0","{1491.0|15605.0}","1.0","{trinity industries, inc.|Trinity Industries}","1.0","{[, transportation/trucking/railroad, ]|[, Conglomerate (company), ]}"
"Kaggle_40578+dbpedia_4812","1.0","1.0","{zambia}",,,"1.0","{287.0|6014.0}","1.0","{zambia sugar plc|Zambia Sugar}","1.0","{[, farming, ]|[, Agriculture, ]}"
"Kaggle_362584+dbpedia_2993","1.0","1.0","{united states}","1.0","{1972.0}","1.0","{26.0|901.0}","1.0","{natures sunshine products|Nature's Sunshine Products}","1.0","{[, marketing and advertising, ]|[, Multi-level marketing, ]}"
"Kaggle_1141+dbpedia_1744","1.0","1.0","{united states}","1.0","{1985.0}","1.0","{6541.0|68700.0}","1.0","{genesis healthcare|Genesis HealthCare}","1.0","{[, hospital & health care, ]|[, Health care, ]}"
"Kaggle_45990+dbpedia_4200","1.0","1.0","{united states}","1.0","{1981.0|1981.0}","1.0","{252.0|285.0}","1.0","{tanger factory outlet centers, inc.|Tanger Factory Outlet Centers}","1.0","{[, real estate, ]|[, Real estate investment trust, ]}"
"Kaggle_36765+dbpedia_147","1.0",,,"1.0","{1991.0}","1.0","{317.0|926.0}","1.0","{aktia|Aktia Bank}","1.0","{[, financial services, ]|[, Financial services, ]}"
"Kaggle_33445+dbpedia_4241","1.0","1.0","{iran}","1.0","{1971.0|1971.0}","1.0","{350.0|20000.0}","1.0","{telecommunication company of iran - tci|Telecommunication Company of Iran}","1.0","{[, telecommunications, ]|[, Telecommunications, ]}"
"Kaggle_5171+dbpedia_3369","1.0","1.0","{united states}","1.0","{1997.0|1997.0}","1.0","{2009.0|1853.0}","1.0","{pioneer natural resources company|Pioneer Natural Resources}","1.0","{[, oil & energy, ]|[, Petroleum industry, ]}"
"Kaggle_10080+dbpedia_122","1.0","1.0","{canada}","1.0","{1957.0|1953.0}","1.0","{1109.0|8400.0}","1.0","{agnico eagle mines limited|Agnico Eagle Mines Limited}","1.0","{[, mining & metals, ]|[, Mining, ]}"
"Kaggle_91003+dbpedia_3285","1.0","1.0","{romania|Romania}","1.0","{1993.0}","1.0","{123.0|860.0}","1.0","{patria bank|Patria Bank}","1.0","{[, banking, ]|[, Financial services, , Bank, ]}"
"Kaggle_57737+dbpedia_2388","1.0",,,"1.0","{2001.0}","1.0","{199.0|1850.0}","1.0","{karafarin bank|Karafarin Bank}","1.0","{[, banking, ]|[, Bank, ]}"
"Kaggle_5948+dbpedia_4458","1.0","1.0","{united states}","1.0","{1993.0|1993.0}","1.0","{1787.0|14309.0}","1.0","{triumph group|Triumph Group}","1.0","{[, aviation & aerospace, ]|[, Manufacturing, , Aerospace, ]}"
"Kaggle_339377+dbpedia_4651","1.0",,,"1.0","{2018.0}","1.0","{29.0|13520.0}","1.0","{vodafone idea limited|Vodafone Idea Ltd}","1.0","{[, telecommunications, ]|[, Telecommunications, ]}"
"Kaggle_61168+dbpedia_4629","1.0","1.0","{united states}","1.0","{2008.0|1995.0}","1.0","{187.0|581.0}","1.0","{virtus investment partners|Virtus Investment Partners}","1.0","{[, investment management, ]|[, Asset management, ]}"
"Kaggle_20423+dbpedia_3936","1.0","1.0","{Bangladesh}","1.0","{1972.0}","1.0","{571.0|21839.0}","1.0","{sonali bank limited|Sonali Bank}","1.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_101055+dbpedia_2054","0.8","0.0","{brazil|South Korea}","1.0","{2012.0|1972.0}","1.0","{110.0}","1.0","{hyundai heavy industries brasil|Hyundai Heavy Industries}","1.0","{[, machinery, ]|[, Machine industry, , Shipbuilding, , Arms industry, ]}"
"Kaggle_4085921+dbpedia_1303","1.0",,,"1.0","{1896.0}","1.0","{1.0}","1.0","{doosan|Doosan Group}","1.0","{[, information technology and services, ]|[, Conglomerate (company), ]}"
"Kaggle_177581+dbpedia_232","1.0","1.0","{united states}","1.0","{2011.0|1964.0}","1.0","{59.0|63000.0}","1.0","{americana|Americana Group}","1.0","{[, marketing and advertising, ]|[, Convenience food, , Franchising, ]}"
"Kaggle_26214+dbpedia_4406","1.0",,,"1.0","{1917.0}","1.0","{448.0|8034.0}","1.0","{toto|Toto Ltd.}","1.0","{[, computer software, ]|[, Ceramic, , Manufacturing, ]}"
"Kaggle_454726+dbpedia_4535","1.0",,,"1.0","{1926.0}","1.0","{20.0|600.0}","1.0","{unisto ag|Unisto}","1.0","{[, plastics, ]|[, Manufacturing, ]}"
"Kaggle_551836+dbpedia_1248","1.0",,,"1.0","{1992.0}","1.0","{16.0|6775.0}","1.0","{deutsche börse|Deutsche Börse}","1.0","{[, financial services, ]|[, Finance, ]}"
"Kaggle_82052+dbpedia_2502","1.0","1.0","{united states}","1.0","{1876.0}","1.0","{137.0|2700.0}","1.0","{ladenburg thalmann|Ladenburg Thalmann}","1.0","{[, financial services, ]|[, Investment, ]}"
"Kaggle_1732+dbpedia_360","1.0","1.0","{united states}","1.0","{2005.0|2005.0}","1.0","{4777.0|17217.0}","1.0","{astellas pharma|Astellas Pharma}","1.0","{[, pharmaceuticals, ]|[, Pharmaceutical industry, ]}"
"Kaggle_174593+dbpedia_170","1.0",,,"1.0","{1935.0}","1.0","{61.0|8600.0}","1.0","{alfred mcalpine|Alfred McAlpine}","1.0","{[, facilities services, ]|[, Construction, ]}"
"Kaggle_4855+dbpedia_4019","1.0","1.0","{united states}","1.0","{2011.0}","1.0","{2118.0}","1.0","{stitch fix|Stitch Fix}","1.0","{[, apparel & fashion, ]|[, Technology, ]}"
"Kaggle_10163+dbpedia_779","1.0","1.0","{united states}","1.0","{1982.0|1982.0}","1.0","{1099.0|2400.0}","1.0","{callaway golf|Callaway Golf Company}","1.0","{[, sporting goods, ]|[, Sports equipment, , Textile industry, ]}"
"Kaggle_332889+dbpedia_3354","1.0","1.0","{united kingdom}","1.0","{2002.0|2002.0}","1.0","{29.0}","1.0","{phorm|Phorm}","1.0","{[, marketing and advertising, ]|[, Online advertising, ]}"
"Kaggle_77541+dbpedia_1370","1.0","1.0","{united states}","1.0","{1998.0|1998.0}","1.0","{146.0}","1.0","{ecovacs robotics, inc.|Ecovacs Robotics}","1.0","{[, consumer electronics, ]|[, Consumer electronics, ]}"
"Kaggle_92933+dbpedia_3734","1.0","1.0","{australia}","1.0","{1936.0|1936.0}","1.0","{120.0}","1.0","{san remo|San Remo (company)}","1.0","{[, food production, ]|[, Food, ]}"
"Kaggle_36184+dbpedia_6","1.0","1.0","{united states}","1.0","{2006.0}","1.0","{322.0|683.0}","1.0","{23andme|23andMe}","1.0","{[, biotechnology, ]|[, Biotechnology, , Genetic genealogy, ]}"
"Kaggle_2434720+dbpedia_2199","1.0",,,"1.0","{2011.0|1975.0}","1.0","{2.0|23000.0}","1.0","{inventec|Inventec}","1.0","{[, information technology and services, ]|[, Computer hardware, ]}"
"Kaggle_289309+dbpedia_3428","1.0",,,,,"1.0","{34.0|9000.0}","1.0","{priszm|Priszm}","1.0","{[, restaurants, ]|[, Restaurant, ]}"
"Kaggle_41558+dbpedia_2701","1.0","1.0","{united states}","1.0","{1991.0}","1.0","{280.0|233.0}","1.0","{mannkind corporation|MannKind Corporation}","1.0","{[, pharmaceuticals, ]|[, Biotechnology, ]}"
"Kaggle_5663466+dbpedia_1870","1.0",,,"1.0","{1997.0}","1.0","{1.0}","1.0","{htc|HTC}","1.0","{[, sports, ]|[, Telecommunications equipment, ]}"
"Kaggle_51685+dbpedia_3906","1.0","1.0","{hong kong}","1.0","{1992.0|1992.0}","1.0","{224.0|1932.0}","1.0","{smartone|SmarTone}","1.0","{[, telecommunications, ]|[, Mobile telephony, ]}"
"Kaggle_12302+dbpedia_237","1.0","1.0","{united states}","1.0","{1954.0|1954.0}","1.0","{921.0|7100.0}","1.0","{ameristar casino|Ameristar Casinos}","1.0","{[, gambling & casinos, ]|[, Gambling, , Hospitality industry, ]}"
"Kaggle_95084+dbpedia_3684","1.0","1.0","{china}","1.0","{1995.0|1995.0}","1.0","{117.0}","1.0","{soho china|SOHO China}","1.0","{[, real estate, ]|[, Real estate, ]}"
"Kaggle_105178+dbpedia_3968","1.0","1.0","{united kingdom}","1.0","{2012.0|2021.0}","1.0","{105.0|101.0}","1.0","{spire global, inc|Spire Global}","1.0","{[, information services, ]|[, Aerospace, ]}"
"Kaggle_318437+dbpedia_14","1.0","1.0","{austria}","1.0","{1887.0|1998.0}","1.0","{31.0|18203.0}","1.0","{telekom austria group|A1 Telekom Austria Group}","1.0","{[, telecommunications, ]|[, Telecommunications, ]}"
"Kaggle_57699+dbpedia_3980","1.0",,,"1.0","{1954.0}","1.0","{199.0|4365.0}","1.0","{ssangyong motor company|SsangYong Motor}","1.0","{[, automotive, ]|[, Automotive industry, ]}"
"Kaggle_6250+dbpedia_1537","1.0","1.0","{united kingdom}","1.0","{2008.0}","1.0","{1711.0|5441.0}","1.0","{farfetch|Farfetch}","1.0","{[, internet, ]|[, E-commerce, ]}"
"Kaggle_126469+dbpedia_618","1.0",,,"1.0","{1872.0}","1.0","{86.0|1500.0}","1.0","{binani industries ltd|Binani Industries}","1.0","{[, building materials, ]|[, Cement, , Zinc, ]}"
"Kaggle_49100+dbpedia_2091","1.0",,,"1.0","{1924.0|1924.0}","1.0","{236.0|673.0}","1.0","{ikb deutsche industriebank ag|IKB Deutsche Industriebank}","1.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_24307+dbpedia_1113","1.0","1.0","{united states}","1.0","{2004.0}","1.0","{482.0|3011.0}","1.0","{cubesmart|CubeSmart}","1.0","{[, real estate, ]|[, Real estate investment trust, ]}"
"Kaggle_87839+dbpedia_2686","1.0","1.0","{united states}","1.0","{1982.0|1982.0}","1.0","{127.0|586.0}","1.0","{malibu boats|Malibu Boats}","1.0","{[, shipbuilding, ]|[, Boat building, ]}"
"Kaggle_89679+dbpedia_2193","1.0","1.0","{germany}","1.0","{1992.0|1992.0}","1.0","{125.0|380.0}","1.0","{intershop communications|Intershop Communications AG}","1.0","{[, information technology and services, ]|[, E-commerce, , Software, , IT service management, ]}"
"Kaggle_64884+dbpedia_1589","1.0","1.0","{pakistan}","1.0","{1989.0|1989.0}","1.0","{176.0}","1.0","{first women bank|First Women Bank}","1.0","{[, banking, ]|[, Capital market, , Bank, ]}"
"Kaggle_2168+dbpedia_3837","1.0","1.0","{canada}","1.0","{1966.0}","1.0","{4043.0|9500.0}","1.0","{shaw communications|Shaw Communications}","1.0","{[, telecommunications, ]|[, Telecommunications, ]}"
"Kaggle_74652+dbpedia_3625","1.0","1.0","{bangladesh|Bangladesh}","1.0","{1972.0|1972.0}","1.0","{152.0|5150.0}","1.0","{rupali bank limited|Rupali Bank Limited}","1.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_6027164+dbpedia_4090","1.0","1.0","{united states}",,,"1.0","{68499.0}","1.0","{suzuki|Suzuki}","1.0","{[, financial services, ]|[, Automotive industry, ]}"
"Kaggle_13192+dbpedia_1775","1.0","1.0","{united states}","1.0","{2003.0|2003.0}","1.0","{866.0|1800.0}","1.0","{globus medical|Globus Medical}","1.0","{[, medical devices, ]|[, Health technology, ]}"
"Kaggle_62917+dbpedia_2700","1.0","1.0","{india}","1.0","{1972.0|1974.0}","1.0","{182.0}","1.0","{mangalore chemicals and fertilizers ltd.,(ub group)|Mangalore Chemicals & Fertilizers}","1.0","{[, marketing and advertising, ]|[, Agriculture, ]}"
"Kaggle_232984+dbpedia_2814","1.0","1.0","{united states}","1.0","{2006.0|2006.0}","1.0","{44.0|1308.0}","1.0","{microvast, inc.|Microvast}","1.0","{[, renewables & environment, ]|[, Energy storage, , Lithium-ion battery, ]}"
"Kaggle_406800+dbpedia_4484","1.0","1.0","{macedonia}","1.0","{1873.0}","1.0","{23.0|1350.0}","1.0","{tutunski kombinat ad prilep|Tutunski kombinat Prilep}","1.0","{[, tobacco, ]|[, Tobacco, ]}"
"Kaggle_18911+dbpedia_4597","1.0","1.0","{united states}","1.0","{1978.0|1978.0}","1.0","{615.0|1100.0}","1.0","{vertex inc.|Vertex Inc}","1.0","{[, computer software, ]|[, Tax compliance software, ]}"
"Kaggle_33989+dbpedia_3402","1.0","1.0","{united states}","1.0","{2011.0|2011.0}","1.0","{344.0|300.0}","1.0","{poshmark|Poshmark}","1.0","{[, internet, ]|[, E-commerce, ]}"
"Kaggle_6852577+dbpedia_459","1.0","1.0","{oman}","1.0","{2007.0|1952.0}",,,"1.0","{bahman group|Bahman Group}","1.0","{[, chemicals, ]|[, Holding company, ]}"
"Kaggle_141014+dbpedia_3897","1.0",,,"1.0","{2005.0|2003.0}","1.0","{77.0}","1.0","{sirius minerals plc|Sirius Minerals}","1.0","{[, mining & metals, ]|[, Fertilizer, , Mineral, ]}"
"Kaggle_28020+dbpedia_2124","1.0","1.0","{australia}","1.0","{1998.0}","1.0","{419.0|1100.0}","1.0","{iluka resources|Iluka Resources}","1.0","{[, mining & metals, ]|[, Mining, ]}"
"Kaggle_45177+dbpedia_1070","1.0","1.0","{taiwan}","1.0","{1992.0|1992.0}","1.0","{257.0|16721.0}","1.0","{coretronic corporation|Coretronic}","1.0","{[, electrical/electronic manufacturing, ]|[, Electronics, ]}"
"Kaggle_41081+dbpedia_231","1.0","1.0","{united states}","1.0","{2006.0}","1.0","{283.0|812.0}","1.0","{american well|American Well}","1.0","{[, information technology and services, ]|[, Health care, ]}"
"Kaggle_342237+dbpedia_2836","1.0","1.0","{South Korea}","1.0","{1970.0}","1.0","{28.0}","1.0","{mirae asset securities (hk)|Mirae Asset Securities}","1.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_5000066+dbpedia_3279","1.0","1.0","{canada}","1.0","{2017.0|1994.0}","1.0","{1.0|948.0}","1.0","{parrot|Parrot SA}","1.0","{[, marketing and advertising, ]|[, Unmanned aerial vehicle, , Wireless, ]}"
"Kaggle_4841066+dbpedia_1350","1.0",,,"1.0","{1888.0}","1.0","{1.0|624.0}","1.0","{eqt|EQT}","1.0","{[, commercial real estate, ]|[, Petroleum industry, ]}"
"Kaggle_38793+dbpedia_1355","1.0","1.0","{united states}","1.0","{1998.0|1998.0}","1.0","{300.0|515.0}","1.0","{eaglebank|EagleBank}","1.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_17428+dbpedia_4653","1.0","1.0","{china}","1.0","{1937.0}","1.0","{664.0|307342.0}","1.0","{volkswagen group china|Volkswagen Group}","1.0","{[, automotive, ]|[, Automotive industry, ]}"
"Kaggle_16547+dbpedia_3564","1.0","1.0","{united states}","1.0","{1982.0|1837.0}","1.0","{700.0}","1.0","{republic bank|Republic Bank}","1.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_38582+dbpedia_1390","1.0","1.0","{iceland}","1.0","{1914.0|1914.0}","1.0","{302.0|1619.0}","1.0","{eimskip|Eimskip}","1.0","{[, transportation/trucking/railroad, ]|[, Freight transport, ]}"
"Kaggle_252114+dbpedia_983","1.0",,,,,"1.0","{40.0}","1.0","{citystate savings bank inc (csb)|Citystate Savings Bank}","1.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_30237+dbpedia_217","1.0","1.0","{united states}","1.0","{1990.0|1990.0}","1.0","{387.0}","1.0","{amber road|Amber Road, Inc.}","1.0","{[, computer software, ]|[, Enterprise software, ]}"
"Kaggle_349259+dbpedia_2056","1.0","1.0","{south korea}","1.0","{1975.0}","1.0","{28.0|3593.0}","1.0","{hyundai mipo dockyard co., ltd.|Hyundai Mipo Dockyard}","1.0","{[, shipbuilding, ]|[, Shipbuilding, ]}"
"Kaggle_228+dbpedia_3096","1.0","1.0","{united states}","1.0","{1901.0|1901.0}","1.0","{20376.0|74000.0}","1.0","{nordstrom|Nordstrom}","1.0","{[, retail, ]|[, Retail, ]}"
"Kaggle_29064+dbpedia_228","1.0","1.0","{united states}","1.0","{2012.0}","1.0","{403.0|1324.0}","1.0","{american homes 4 rent|American Homes 4 Rent}","1.0","{[, real estate, ]|[, Real estate investment trust, ]}"
"Kaggle_41314+dbpedia_1656","1.0",,,,,"1.0","{281.0|58422.0}","1.0","{fujikura|Fujikura}","1.0","{[, telecommunications, ]|[, Electrical device, , Telecommunications, , Arms industry, ]}"
"Kaggle_584+dbpedia_3291","1.0","1.0","{united states}","1.0","{1998.0}","1.0","{10904.0}","1.0","{paypal|PayPal}","1.0","{[, internet, ]|[, Financial technology, ]}"
"Kaggle_237202+dbpedia_3062","1.0","1.0","{united states}","1.0","{1920.0|1949.0}","1.0","{43.0|13052.0}","1.0","{nippon paper industries usa|Nippon Paper Industries}","1.0","{[, paper & forest products, ]|[, Pulp and paper industry, ]}"
"Kaggle_35268+dbpedia_1726","1.0","1.0","{vietnam}","1.0","{1945.0|1901.0}","1.0","{331.0|12696.0}","1.0","{gedeon richter|Gedeon Richter (company)}","1.0","{[, pharmaceuticals, ]|[, Pharmaceutical industry, , Biotechnology, ]}"
"Kaggle_1600+dbpedia_167","1.0","1.0","{sweden}","1.0","{1883.0|1883.0}","1.0","{5082.0|17497.0}","1.0","{alfa laval|Alfa Laval}","1.0","{[, mechanical or industrial engineering, ]|[, Engineering, , Manufacturing, ]}"
"Kaggle_8204+dbpedia_4408","1.0","1.0","{united states}","1.0","{1993.0}","1.0","{1344.0|7600.0}","1.0","{tower international|Tower International}","1.0","{[, automotive, ]|[, Automotive industry, ]}"
"Kaggle_28572+dbpedia_2194","1.0","1.0","{nigeria}","1.0","{2002.0|2002.0}","1.0","{410.0}","1.0","{interswitch group|Interswitch}","1.0","{[, information technology and services, ]|[, Financial technology, ]}"
"Kaggle_21057+dbpedia_1834","1.0","1.0","{canada}","1.0","{1960.0}","1.0","{554.0}","1.0","{groupe tva inc|Groupe TVA}","1.0","{[, broadcast media, ]|[, Broadcasting, ]}"
"Kaggle_1549+dbpedia_4402","1.0","1.0","{japan}","1.0","{1875.0|1875.0}","1.0","{5190.0|141256.0}","1.0","{toshiba|Toshiba}","1.0","{[, consumer electronics, ]|[, Conglomerate (company), ]}"
"Kaggle_395231+dbpedia_2472","1.0",,,"1.0","{1944.0}","1.0","{24.0|4374.0}","1.0","{kureha corporation|Kureha Corporation}","1.0","{[, chemicals, ]|[, Chemical industry, ]}"
"Kaggle_2769577+dbpedia_306","1.0",,,"1.0","{2007.0}","1.0","{2.0|94000.0}","1.0","{arcos dorados|Arcos Dorados Holdings}","1.0","{[, restaurants, ]|[, Food industry, ]}"
"Kaggle_142503+dbpedia_713","1.0","1.0","{united states}","1.0","{2009.0|2009.0}","1.0","{76.0}","1.0","{burford capital|Burford Capital}","1.0","{[, financial services, ]|[, Financial services, ]}"
"Kaggle_162680+dbpedia_704","1.0",,,"1.0","{1908.0|1908.0}","1.0","{66.0|31314.0}","1.0","{brother industries, ltd.|Brother Industries}","1.0","{[, business supplies and equipment, ]|[, Machine, , Printer (computing), ]}"
"Kaggle_519+dbpedia_2704","1.0","1.0","{united states}","1.0","{1887.0}","1.0","{11921.0|34000.0}","1.0","{manulife|Manulife}","1.0","{[, financial services, ]|[, Financial services, ]}"
"Kaggle_1676+dbpedia_4221","1.0","1.0","{united states}","1.0","{1915.0|1893.0}","1.0","{4892.0|13289.0}","1.0","{technicolor|Technicolor SA}","1.0","{[, entertainment, ]|[, Conglomerate (company), , Creative industries, ]}"
"Kaggle_169177+dbpedia_2240","1.0","1.0","{united states}","1.0","{1973.0}","1.0","{63.0|131.0}","1.0","{jafco|JAFCO}","1.0","{[, venture capital & private equity, ]|[, Private equity, , Venture capital, ]}"
"Kaggle_69198+dbpedia_2132","1.0","1.0","{united kingdom}","1.0","{2008.0|2008.0}","1.0","{164.0}","1.0","{impellam group|Impellam Group}","1.0","{[, staffing and recruiting, ]|[, Recruitment, ]}"
"Kaggle_298288+dbpedia_4312","1.0","1.0","{united states}","1.0","{1969.0|1969.0}","1.0","{33.0}","1.0","{thermwood corporation|Thermwood Corporation}","1.0","{[, machinery, ]|[, CNC wood router, ]}"
"Kaggle_7016+dbpedia_172","1.0","1.0","{peru}","1.0","{1956.0}","1.0","{1545.0|5000.0}","1.0","{alicorp|Alicorp}","1.0","{[, food production, ]|[, Food, ]}"
"Kaggle_92834+dbpedia_4720","1.0",,,"1.0","{1973.0}","1.0","{120.0|1200.0}","1.0","{westamerica bank|Westamerica Bank}","1.0","{[, banking, ]|[, Financial services, , Bank, ]}"
"Kaggle_11618+dbpedia_4496","1.0","1.0","{india|India}","1.0","{1943.0|1943.0}","1.0","{970.0|22012.0}","1.0","{uco bank|UCO Bank}","1.0","{[, banking, ]|[, Financial services, , Bank, ]}"
"Kaggle_198769+dbpedia_1693","1.0","1.0","{bermuda}","1.0","{1993.0|1993.0}","1.0","{52.0|75.0}","1.0","{gp investments|GP Investments}","1.0","{[, venture capital & private equity, ]|[, Private equity, ]}"
"Kaggle_2547+dbpedia_2715","1.0","1.0","{united states}","1.0","{1984.0}","1.0","{3543.0|10000.0}","1.0","{marriott vacations worldwide corporation|Marriott Vacations Worldwide}","1.0","{[, hospitality, ]|[, Tourism, , Hospitality, ]}"
